feature_idx,coefficient
0,0.017653964089179953
1,-0.07054975710384478
2,-0.24741129774837617
3,-0.47759107674398527
4,0.14947089612239128
5,0.5969494381704514
6,0.16840710959434707
7,-0.6235606725593441
8,-0.13737008920022542
9,-0.6994316726592242
10,-0.40830065966187573
11,0.39252274851005015
12,0.266227328892788
13,-0.9529369561101888
14,0.2002859390173708
15,-0.6879361724036922
16,0.675255809427197
17,-1.6406646888493595
18,0.7347730082071908
19,-0.850577725563051
20,-0.421786874472532
21,0.5233889824444456
22,-0.6169986285146467
23,-0.22014190167123876
24,0.5912950043317234
25,-0.7801518792254906
26,0.7206191322714244
27,-0.1601885232659068
28,-1.1427461491181679
29,0.8764564058722507
30,-1.2718542800851316
31,0.5020131733516411
32,0.5244774710700331
33,0.36201541660485886
34,0.5788736296991225
35,0.02994814318565129
36,0.42551389830760666
37,0.36450942092261424
38,0.5703289936865987
39,0.6481893462211904
40,0.25797733430185027
41,0.4677801923023578
42,1.550995348979236
43,-2.05212913583919
44,-0.17246354023466476
45,1.0283029084132513
46,-0.5946826022700502
47,0.988482072141903
48,0.9376805429044028
49,-0.5088380286566356
50,0.18938855158567586
51,-0.42181029715671364
52,-0.3553093752744368
53,0.30468312218166727
54,1.522936061875829
55,0.8182745890636731
56,0.5415957086910311
57,-0.2739826836195866
58,0.1770396962788083
59,0.8887235561616147
60,-0.05913206701252451
61,0.2676646018144022
62,-0.2519696365624463
63,-0.12512990005267474
64,0.15115153117109123
65,-0.6058107082942099
66,0.5320791342248647
