Fold,Test_Accuracy,Test_Kappa
1,0.7241379310344828,0.444976076555024
2,0.7586206896551724,0.517814726840855
3,0.896551724137931,0.7923627684964201
4,0.7586206896551724,0.5155131264916468
5,0.5357142857142857,0.0714285714285714
